issue key,projectCategory,created,priority,summary,description,creator,reporter
ZOOKEEPER-2759,ZooKeeper,2017-04-17T22:45:41.000+0000,Major,Flaky test: org.apache.zookeeper.server.quorum.QuorumCnxManagerTest.testNoAuthLearnerConnectToAuthRequiredServerWithHigherSid,,abrahamfine,abrahamfine
ZOOKEEPER-2758,ZooKeeper,2017-04-15T06:30:58.000+0000,Trivial,Typo: transasction --> transaction,Typo in src/docs/src/documentation/content/xdocs/zookeeperAdmin.xml,jeffwidman,jeffwidman
ZOOKEEPER-2757,ZooKeeper,2017-04-14T21:58:40.000+0000,Minor,Incorrect path crashes zkCli,"If I try {{delete test}} without the leading /, then the CLI crashes with this exception:{noformat}Exception in thread ""main"" java.lang.IllegalArgumentException: Path must start with / character	at or",fpj,fpj
ZOOKEEPER-2756,ZooKeeper,2017-04-13T21:55:00.000+0000,Major,Add CMake build system for better cross-platform support,"The C bindings primary build system is Autotools. This obviously does not work for Windows, and so the original port to Windows simply added a Visual Studio solution to the project, splitting the buil",andschwa,andschwa
ZOOKEEPER-2755,ZooKeeper,2017-04-13T04:51:04.000+0000,Major,Allow to subclass ClientCnxnSocketNetty and NettyServerCnxn in order to use Netty Local transport,ClientCnxnSocketNetty and NettyServerCnxn use explicitly InetSocketAddress class to work with network addresses.We can do a little refactoring to use only SocketAddress and make it possible to create ,eolivelli,eolivelli
ZOOKEEPER-2754,ZooKeeper,2017-04-11T22:37:00.000+0000,Major,Set up Apache Jenkins job that runs the flaky test analyzer script.,,hanm,hanm
ZOOKEEPER-2753,ZooKeeper,2017-04-11T22:17:29.000+0000,Major,Introduce a python script for generating flaky test report,"This python script uses Jenkins REST API to query Jenkins build, analyze test results and generate reports of flaky tests over a range of builds across specific time periods. This is preview of what t",hanm,hanm
ZOOKEEPER-2752,ZooKeeper,2017-04-11T22:13:57.000+0000,Major,Introduce ZooKeeper flaky test dashboard,"ZooKeeper flaky test dashboard is a set of tools used to track, analyze, and report flaky tests. It's designed with the goal to automate most of the labor intensive part of work related to tracking, m",hanm,hanm
ZOOKEEPER-2751,ZooKeeper,2017-04-10T17:11:26.000+0000,Minor,Investigate why existing unit tests does not leak connection bean for NIO code path,"In ZOOKEEPER-2743 we observed a race condition in Netty code path that could lead to connection bean leaking; similar code pattern exists in NIO code path as well, however existing unit tests never fa",hanm,hanm
ZOOKEEPER-2750,ZooKeeper,2017-04-07T19:49:09.000+0000,Major,Document SSL Support for Atomic Broadcast protocol,,abrahamfine,abrahamfine
ZOOKEEPER-2749,ZooKeeper,2017-04-07T03:49:08.000+0000,Major,Cleanup findbug warnings in branch-3.4: Experimental Warnings,,abrahamfine,abrahamfine
ZOOKEEPER-2748,ZooKeeper,2017-04-06T22:03:43.000+0000,Minor,Admin command to voluntarily drop client connections,"In certain circumstances, it would be useful to be able to move clients from one server to another.One example: a quorum that consists of 3 servers (A,B,C) with 1000 active client session, where 900 c",mprime,mprime
ZOOKEEPER-2747,ZooKeeper,2017-04-06T22:01:58.000+0000,Major,Fix ZooKeeperAdmin Compilation Warning,Currently when compiling ZooKeeper we se a compilation warning:{code}    [javac] /zookeeper/src/java/main/org/apache/zookeeper/admin/ZooKeeperAdmin.java:43: warning: [try] auto-closeable resource ZooK,abrahamfine,abrahamfine
ZOOKEEPER-2746,ZooKeeper,2017-04-04T23:39:24.000+0000,Major,"Leader hand-off during dynamic reconfig is best effort, while test always expects it","When non-trivial config change happens on the leader (e.g. port change, role change) to minimize disruption of quorum we do leader hand off by having the current leader nominate the next leader instea",hanm,hanm
ZOOKEEPER-2745,ZooKeeper,2017-04-04T21:55:38.000+0000,Critical,"Node loses data after disk-full event, but successfully joins Quorum","If disk is full on 1 zookeeper node in a 3 node ensemble, it is able to join the quorum with partial data.Setup:--------- Running a 3 node zookeeper ensemble on Ubuntu 12.04 as upstart services. Let's",bothra90,bothra90
ZOOKEEPER-2744,ZooKeeper,2017-04-03T02:56:15.000+0000,Trivial,Typos in the comments of ZooKeeper class,"In the comments of ZooKeeper class definition, ""This special event has type EventNone and state sKeeperStateDisconnected."" should be ""This special event has EventType None and KeeperState Disconnected",ethanli,ethanli
ZOOKEEPER-2743,ZooKeeper,2017-04-01T20:30:47.000+0000,Major,Netty connection leaks JMX connection bean upon connection close in certain race conditions.,"This is a tricky issue found while debugging failure of ""flaky"" watcher test (ZOOKEEPER-2686). When closing a Netty connection, depend on timing the connection bean registered when the connection was ",hanm,hanm
ZOOKEEPER-2742,ZooKeeper,2017-03-30T15:08:49.000+0000,Trivial,Few test cases of org.apache.zookeeper.ZooKeeperTest fails in Windows,Following test cases fail in Windows environment:1. org.apache.zookeeper.ZooKeeperTest.testLsrRootCommand()2. org.apache.zookeeper.ZooKeeperTest.testLsrCommand()It seems that failure is related to use,a72877,a72877
ZOOKEEPER-2741,ZooKeeper,2017-03-28T18:52:15.000+0000,Minor,A Swift Connector of ZooKeeper is available now: Perfect-ZooKeeper,Perfect-ZooKeeper is a Swift class wrapper of zookeeper C connector:Source Code:https://github.com/PerfectlySoft/Perfect-ZooKeeperDocument:http://www.perfect.org/docs/ZooKeeper.htmlPerfect is an open ,rockford,rockford
ZOOKEEPER-2740,ZooKeeper,2017-03-27T17:35:36.000+0000,Critical,Port ZOOKEEPER-2737 to branch-3.4,ZOOKEEPER-2737 fix is pending to branch-3.4 because we are in middle of release. This fix should get in after 3.4.10 gets out.cc [~rakeshr].,hanm,hanm
ZOOKEEPER-2739,ZooKeeper,2017-03-25T01:22:16.000+0000,Major,maxClientCnxns not working in NettyServerCnxnFactory,"The maxClientCnxns field isn't being used in NettyServerCnxnFactory, and therefore the connection limit isn't observed.See attached test",vincentpoon,vincentpoon
ZOOKEEPER-2738,ZooKeeper,2017-03-25T01:12:18.000+0000,Major,maxClientCnxns not limiting concurrent connections properly,"The test MaxCnxnsTest is incorrect as it only creates up the maxCnxns number of threads, whereas it should create more.  See attached patchWhen the test is fixed, it fails on master and 3.5, where ZOO",vincentpoon,vincentpoon
ZOOKEEPER-2737,ZooKeeper,2017-03-24T17:16:17.000+0000,Critical,NettyServerCnxFactory leaks connection if exception happens while writing to a channel.,Found this while debugging occasionally failed unit tests. Currently we do this if exception occurs during writing to a channel with Netty:{code}@Override        public void exceptionCaught(ChannelHan,hanm,hanm
ZOOKEEPER-2736,ZooKeeper,2017-03-23T18:30:50.000+0000,Major,Add a connection rate limiter,"Currently the maxClientCnxns property only limits the aggregate number of connections from a client, but not the rate at which connections can be created.This patch adds a configurable connection rate",vincentpoon,vincentpoon
ZOOKEEPER-2735,ZooKeeper,2017-03-23T01:27:20.000+0000,Trivial,Typo fixes in some scripts,There are same typos in shell files follows:* https://github.com/apache/zookeeper/blob/master/bin/zkCleanup.sh#L28* https://github.com/apache/zookeeper/blob/master/bin/zkCli.sh#L28* https://github.com,jwj0831,jwj0831
ZOOKEEPER-2734,ZooKeeper,2017-03-21T17:52:08.000+0000,Blocker,3.5.3 should be a beta release instead of alpha release.,Currently 3.5.3 is tagged as alpha both in build and JIRA. We should reach a consensus on the tag before release. See the email thread on dev list for more details.Deliverable:* A consensus on using b,hanm,hanm
ZOOKEEPER-2733,ZooKeeper,2017-03-20T05:29:02.000+0000,Major,Cleanup findbug warnings in branch-3.4: Dodgy code Warnings,"Please refer the attached sheet in parent jira. Below is the details of findbug warnings.{code}DB	org.apache.zookeeper.server.quorum.auth.SaslQuorumAuthLearner.send(DataOutputStream, byte[]) uses the ",rakeshr,rakeshr
ZOOKEEPER-2732,ZooKeeper,2017-03-20T05:25:59.000+0000,Major,Cleanup findbug warnings in branch-3.4: Performance Warnings,"Please refer the attached sheet in parent jira. Below is the details of findbug warnings.{code}Bx	Boxing/unboxing to parse a primitive new org.apache.zookeeper.server.quorum.QuorumCnxManager(long, Map",rakeshr,rakeshr
ZOOKEEPER-2731,ZooKeeper,2017-03-20T05:22:20.000+0000,Major,Cleanup findbug warnings in branch-3.4: Malicious code vulnerability Warnings,"Please refer the attached sheet in parent jira. Below is the details of findbug warnings.{code}MS	org.apache.zookeeper.Environment.JAAS_CONF_KEY isn't final but should beBug type MS_SHOULD_BE_FINAL (c",rakeshr,rakeshr
ZOOKEEPER-2730,ZooKeeper,2017-03-20T05:19:16.000+0000,Major,Cleanup findbug warnings in branch-3.4: Internationalization Warnings,"Please refer the attached sheet in parent jira. Below is the details of findbug warnings.{code}Dm	Found reliance on default encoding in org.apache.jute.compiler.CGenerator.genCode(): new java.io.FileW",rakeshr,rakeshr
ZOOKEEPER-2729,ZooKeeper,2017-03-20T05:16:09.000+0000,Major,Cleanup findbug warnings in branch-3.4: Correctness Warnings,"{code}(1) INT Bad comparison of nonnegative value with 0 in org.apache.zookeeper.server.quorum.auth.SaslQuorumAuthLearner.send(DataOutputStream, byte[])Bug type INT_BAD_COMPARISON_WITH_NONNEGATIVE_VAL",rakeshr,rakeshr
ZOOKEEPER-2728,ZooKeeper,2017-03-20T05:13:06.000+0000,Major,Clean up findbug warnings in branch-3.4,This jira to cleanup findbug warnings reported in branch-3.4[Branch3.4 FindbugsWarnings.html|https://builds.apache.org/job/PreCommit-ZOOKEEPER-github-pr-build/444/artifact/build/test/findbugs/newPatch,rakeshr,rakeshr
ZOOKEEPER-2727,ZooKeeper,2017-03-17T15:48:40.000+0000,Major,WARN and stacktrace for normally closed socket,Steps to reproduce:* setup zookeeper* setup TCP load balancer. This balancer should check zookeeper clientPort liveness(healthcheck) by opening and closing TCP connection to clientPort. See https://ku,dernasherbrezon,dernasherbrezon
ZOOKEEPER-2726,ZooKeeper,2017-03-16T19:15:05.000+0000,Major,Patch for ZOOKEEPER-2693 introduces potential race condition,"We noticed when porting the patch, that isEnabled is not thread-safe. Synchronizing it and resetWhitelist should solve the issue.",knusbaum,knusbaum
ZOOKEEPER-2725,ZooKeeper,2017-03-15T22:34:55.000+0000,Major,Upgrading to a global session fails with a multiop,"On an ensemble with local sessions enabled, when a client with a local session requests the creation of an ephemeral node within a multi-op, the client gets a session expired message.  The same multi-",nixon,nixon
ZOOKEEPER-2724,ZooKeeper,2017-03-15T21:21:23.000+0000,Blocker,Skip cert files for releaseaudit target.,In branch-3.5 release auditing generating warnings against cert files as these files don't contain Apache License (AL) header. I don't think these files should be checked because they are not source f,hanm,hanm
ZOOKEEPER-2723,ZooKeeper,2017-03-15T11:11:43.000+0000,Major,ConnectStringParser does not parse correctly if quorum string has znode path,"f2017-03-14 07:10:26,247 INFO [main] zookeeper.ZooKeeper - Initiating client connection, connectString=x1-1-was.ops.sfdc.net:2181,x2-1-was.ops.sfdc.net:2181,x3-1-was.ops.sfdc.net:2181,x4-1-was.ops.sfd",vishk,vishk
ZOOKEEPER-2722,ZooKeeper,2017-03-14T23:16:11.000+0000,Major,Flaky Test: org.apache.zookeeper.test.ReadOnlyModeTest.testSessionEstablishment,"{noformat}Error MessageKeeperErrorCode = ConnectionLoss for /testStacktraceorg.apache.zookeeper.KeeperException$ConnectionLossException: KeeperErrorCode = ConnectionLoss for /test	at org.apache.zookee",hanm,hanm
ZOOKEEPER-2721,ZooKeeper,2017-03-14T09:31:26.000+0000,Major,org.apache.zookeeper.server.quorum.ReconfigRecoveryTest fails intermittently,The test-suite org.apache.zookeeper.server.quorum.ReconfigRecoveryTest fails intermittently on ppc64le and x86 architechture. I have attached standard output log. The error message is as follows:{code,skanekar,skanekar
ZOOKEEPER-2720,ZooKeeper,2017-03-14T06:05:26.000+0000,Major,org.apache.zookeeper.test.WatchEventWhenAutoResetTest fails intermittently,The test-suite org.apache.zookeeper.test.WatchEventWhenAutoResetTest fails intermittently. It is failing on ppc64le and x86 architechture. I have attached standard output log. The error message is as ,skanekar,skanekar
ZOOKEEPER-2719,ZooKeeper,2017-03-12T17:38:58.000+0000,Major,Port ZOOKEEPER-2169 (TTL Nodes) to 3.5 branch,ZOOKEEPER-2169 is a useful feature that should be deployed sooner than later. Take the work done in the master branch and port it to the 3.5 branch,randgalt,randgalt
ZOOKEEPER-2718,ZooKeeper,2017-03-10T08:45:45.000+0000,Major,org.apache.zookeeper.server.quorum.StandaloneDisabledTest fails intermittently,The test-suite org.apache.zookeeper.server.quorum.StandaloneDisabledTest fails intermittently with a timeout error. It fails on x86 and ppc64le architechture. The standard output is as follows:{code:b,skanekar,skanekar
ZOOKEEPER-2717,ZooKeeper,2017-03-10T07:17:49.000+0000,Major,org.apache.zookeeper.server.quorum.RaceConditionTest fails intermittently,The test-suite org.apache.zookeeper.server.quorum.RaceConditionTest fails intermittently on ppc64le and x86 architechture with following error message:{code:borderStyle=solid}org.apache.zookeeper.serv,skanekar,skanekar
ZOOKEEPER-2716,ZooKeeper,2017-03-09T21:46:07.000+0000,Major,Flaky Test: org.apache.zookeeper.server.SessionTrackerTest.testAddSessionAfterSessionExpiry,This test fail once in a while because the test logic has time assumptions that should be fixed. PR in a minute. Sample log when it fails:{noformat}Error MessageDuplicate session expiry request has be,hanm,hanm
ZOOKEEPER-2715,ZooKeeper,2017-03-09T07:12:55.000+0000,Major,Sessions Expire due to Network partitioning in Zookeeper ,"Recently, carried out a test to to find the behavior of clients when a  zookeeper server is isolated from the zookeeper leader.Here used a ensemble of 3 zookeeper servers called A, B and C. And quorum",tharinduku,tharinduku
ZOOKEEPER-2714,ZooKeeper,2017-03-08T23:17:54.000+0000,Blocker,Zookeeper (standalone) failed to start up,"We've a standalone ZK setup. Upon restart, it failed to serve requests. Here are the logs:------------------2017-03-05 17:33:58,888 [myid:] - INFO  [main:QuorumPeerConfig@103] - Reading configuration ",danielchan,danielchan
ZOOKEEPER-2713,ZooKeeper,2017-03-08T16:21:07.000+0000,Blocker,"Create CVE text for ZOOKEEPER-2693 ""DOS attack on wchp/wchc four letter words (4lw)""",We need to agree to the CVE text for ZOOKEEPER-2693. Let's use the comments here to do so.The assigned CVE number is CVE-2017-5637,phunt,phunt
ZOOKEEPER-2712,ZooKeeper,2017-03-08T15:04:48.000+0000,Critical,MiniKdc test case intermittently failing due to principal not found in Kerberos database,"MiniKdc test cases are intermittently failing due to not finding the principal. Below is the failure stacktrace.{code}2017-03-08 13:21:10,843 [myid:] - ERROR [NioProcessor-1:AuthenticationService@187]",rakeshr,rakeshr
ZOOKEEPER-2711,ZooKeeper,2017-03-07T18:19:04.000+0000,Critical,Deadlock between concurrent 4LW commands that iterate over connections with Netty server,"Observed the following issue in some $dayjob testing environments. Line numbers are a little off compared to master/branch-3.5, but I did confirm the same issue exists there.With the NettyServerCnxnFa",elserj,elserj
ZOOKEEPER-2710,ZooKeeper,2017-03-07T17:06:26.000+0000,Major,Regenerate documentation for branch-3.4 release,This jira can be used to regenerate the documentation as some of the recent commits didn't regenerated the doc section.,rakeshr,rakeshr
ZOOKEEPER-2709,ZooKeeper,2017-03-03T21:28:28.000+0000,Minor,"Clarify documentation around ""auth"" ACL scheme","We recently found up in HBASE-17717 that we were incorrectly setting an ACL on our ""sensitive"" znodes after the output of {{getACL}} on these nodes didn't match what was expected.In referencing the do",elserj,elserj
ZOOKEEPER-2708,ZooKeeper,2017-03-03T19:59:30.000+0000,Minor,TracelogFile not being created.,"We are configuring Zookeeper with log4j to create a tracelog file separated from the zookeeper.log.We have test using the following java properties:call %JAVA% ""-DrequestTraceFile"" ""-Dzookeeper.log.di",aesquivel,aesquivel
ZOOKEEPER-2707,ZooKeeper,2017-02-23T21:26:55.000+0000,Major,"Fix ""Unexpected bean exists!"" issue in WatcherTests",All the WatcherTests occasionally fail with: {code}Error Message:Unexpected bean exists! expected:<0> but was:<1>Stack Trace:junit.framework.AssertionFailedError: Unexpected bean exists! expected:<0> ,abrahamfine,abrahamfine
ZOOKEEPER-2706,ZooKeeper,2017-02-23T19:54:26.000+0000,Major,checkstyle broken on branch-3.4,"While working on ZOOKEEPER-2696, [~rakeshr] and I noticed that checkstyle is failing to execute on branch-3.4 with the following error:{code}BUILD FAILED/Users/abefine/cloudera_code/zookeeper/build.xm",abrahamfine,abrahamfine
ZOOKEEPER-2705,ZooKeeper,2017-02-23T12:24:39.000+0000,Major,Container node remains indefinitely after session has long expired!,"Zookeeper version: 3.5.1-alphaCurator Framework version: 3.2.0We have a 5 node cluster. When we register a service instance everything is created within zookeeper successfully, e.g. for a service name",stondofitz,stondofitz
ZOOKEEPER-2704,ZooKeeper,2017-02-23T01:16:33.000+0000,Major,Run Jepsen against branch-3.5 / master of ZooKeeper,The [Jepsen report|https://aphyr.com/posts/291-jepsen-zookeeper] on ZooKeeper was using an old version of ZooKeeper (3.4.5). It would be good to run Jepsen on trunk / branch-3.5 and see what happens. ,hanm,hanm
ZOOKEEPER-2703,ZooKeeper,2017-02-22T19:47:25.000+0000,Major,[MASTER ISSUE] Create benchmark/stability tests,"It would be useful to have objective tests/benchmarks. These tests/benchmarks can be used to validate future changes to ZooKeeper, compare against other similar products (etcd/consul, etc.) or to help",randgalt,randgalt
ZOOKEEPER-2702,ZooKeeper,2017-02-22T12:42:00.000+0000,Major,zookeeper ensemble took 20 minutes to come back up after leader failed,"Zookeeper version : 3.4.9OS version is ubuntu 14.04(trusty)Default configuration of zoo.cfg tickTime=2000initLimit=10syncLimit=5I have setup the zookeeper ensemble with three servers zk1.com, zk2.com,",gopalakrishna,gopalakrishna
ZOOKEEPER-2701,ZooKeeper,2017-02-20T06:22:56.000+0000,Minor,Timeout for RecvWorker is too long,"Environment:I deploy ZooKeeper in a cluster of three nodes. Each node has three network interfaces(eth0, eth1, eth2).Hostname is used instead of IP address in zoo.cfg, and quorumListenOnAllIPs=truePro",jiangjiafu,jiangjiafu
ZOOKEEPER-2700,ZooKeeper,2017-02-17T13:55:16.000+0000,Minor,Force ZooKeeper to generate snapshot,"When cold backup or remote offline sync Zookeeper instances, we need the latest snapshot.Add a four letter `snap` command to force Zookeeper to generate snapshot.",flier.lu,flier.lu
ZOOKEEPER-2699,ZooKeeper,2017-02-17T07:54:17.000+0000,Major,Restrict 4lw commands based on client IP,Currently 4lw commands are executed without authentication and can be accessed from any IP which has access to ZooKeeper server. ZOOKEEPER-2693 attempts to limit the 4lw commands which are enabled by ,arshad.mohammad,arshad.mohammad
ZOOKEEPER-2698,ZooKeeper,2017-02-16T20:28:43.000+0000,Major,SSL support for server to server communication,,abrahamfine,abrahamfine
ZOOKEEPER-2697,ZooKeeper,2017-02-16T13:18:04.000+0000,Critical,Handle graceful stop of ZookKeeper client,"As seen in ZOOKEEPER-1394 I would like to have the ""close""  which waits for all background activities to  finish.In tests the method ""testableWaitForShutdown"" is used.We can add a new ZooKeeper.close(",eolivelli,eolivelli
ZOOKEEPER-2696,ZooKeeper,2017-02-15T00:01:26.000+0000,Major,Eclipse ant task no longer determines correct classpath for tests after ZOOKEEPER-2689,Following the changes made in ZOOKEEPER-2689 IDE's using the .classpath file generated by the eclipse ant task (I tested both idea and eclipse) cannot compile the tests.,abrahamfine,abrahamfine
ZOOKEEPER-2695,ZooKeeper,2017-02-14T13:38:49.000+0000,Major,Handle unknown error for rolling upgrade old client new server scenario,"In Zookeeper rolling upgrade scenario where server is new but client is old, when sever sends error code which is not understood by the client, client throws NullPointerException. KeeperException.Syst",arshad.mohammad,arshad.mohammad
ZOOKEEPER-2694,ZooKeeper,2017-02-14T13:12:20.000+0000,Major,sync CLI command does not wait for result from server,sync CLI command does not wait for result from server. It returns immediately after invoking the sync's asynchronous API.Executing bellow command does not give the expected result {{<zkServer>/bin/zkC,arshad.mohammad,arshad.mohammad
ZOOKEEPER-2693,ZooKeeper,2017-02-14T03:33:13.000+0000,Blocker,DOS attack on wchp/wchc four letter words (4lw),The wchp/wchc four letter words can be exploited in a DOS attack on the ZK client port - typically 2181. The following POC attack was recently published on the web:https://vulners.com/exploitdb/EDB-ID,phunt,phunt
ZOOKEEPER-2692,ZooKeeper,2017-02-10T17:53:55.000+0000,Major,Fix race condition in testWatchAutoResetWithPending,,abrahamfine,abrahamfine
ZOOKEEPER-2691,ZooKeeper,2017-02-10T11:08:41.000+0000,Minor,recreateSocketAddresses may recreate the unreachable IP address,The QuorumPeer$QuorumServer.recreateSocketAddress()  is used to resolved the hostname to a new IP address(InetAddress) when any exception happens to the socket. It will be very useful when a hostname ,jiangjiafu,jiangjiafu
ZOOKEEPER-2690,ZooKeeper,2017-02-09T19:34:02.000+0000,Minor,Update documentation source for ZOOKEEPER-2574,"In ZOOKEEPER-2574, the documentation change (https://github.com/apache/zookeeper/pull/111/) was done directly on the generated document files instead of on the document source. This JIRA is created to",hanm,hanm
ZOOKEEPER-2689,ZooKeeper,2017-02-09T15:47:33.000+0000,Critical,Fix Kerberos Authentication related test cases,Following test classes failed when branch-3.4 is run on java 6.{noformat}org.apache.zookeeper.server.quorum.auth.MiniKdcTestorg.apache.zookeeper.server.quorum.auth.QuorumKerberosAuthTestorg.apache.zoo,arshad.mohammad,arshad.mohammad
ZOOKEEPER-2688,ZooKeeper,2017-02-08T14:23:59.000+0000,Major,"rmr leads to ""Node does not exist""","Issuing rmr /vault leads to Node does not exist: /vault/core/_lock/_c_e393e8a4d2c984178373be528a25404a-lock-0000000028I know that rmr is getting deprecated in next version, but I think this might be c",ror6ax,ror6ax
ZOOKEEPER-2687,ZooKeeper,2017-02-08T07:19:58.000+0000,Major,Deadlock while shutting down the Leader server.,Leader server enters into deadlock while shutting down. This happens some time only.The reason and deadlock flow is same as ZOOKEEPER-2380.shutdown was removed from synchronized block in ZOOKEEPER-238,arshad.mohammad,arshad.mohammad
ZOOKEEPER-2686,ZooKeeper,2017-02-07T22:01:31.000+0000,Major,Flaky Test: org.apache.zookeeper.test.WatcherTest.,"Once in a while, these tests failed. {noformat}org.apache.zookeeper.test.WatcherTest.testWatchAutoResetWithPendingorg.apache.zookeeper.test.WatcherTest.testWatcherCorrectnessorg.apache.zookeeper.test.",hanm,hanm
ZOOKEEPER-2685,ZooKeeper,2017-02-07T09:08:01.000+0000,Major,How to implement SSL in zookeeper-3.4.5-3,want to implement SSL in zookeeeper. But not able to implement as version issue. So how can we implement in zookeeper-3.4.5-3. ,shamim_er,shamim_er
ZOOKEEPER-2684,ZooKeeper,2017-02-07T05:23:02.000+0000,Blocker,Fix a crashing bug in the mixed workloads commit processor,"We deployed our build with ZOOKEEPER-2024 and it quickly started to crash with the following erroratla-buh-05-sr1.prod.twttr.net: 2017-01-18 22:24:42,305 - ERROR [CommitProcessor:2] -org.apache.zookee",nerdyyatrice,nerdyyatrice
ZOOKEEPER-2683,ZooKeeper,2017-02-06T18:01:41.000+0000,Major,RaceConditionTest is flaky,*Error Message*{noformat}Leader failed to transition to LOOKING or FOLLOWING state{noformat}*Stacktrace*{noformat}junit.framework.AssertionFailedError: Leader failed to transition to LOOKING or FOLLOW,arshad.mohammad,arshad.mohammad
ZOOKEEPER-2682,ZooKeeper,2017-02-05T11:27:48.000+0000,Minor,Make it optional to fail build on test failure,"Currently if there is a test failure, build is marked as failed and exits.I want to rerun the failed test cases instead of exiting.",arshad.mohammad,arshad.mohammad
ZOOKEEPER-2681,ZooKeeper,2017-01-27T22:02:43.000+0000,Major,ConnectionState does not sync startup of ExhibitorEnsembleProvider and Zookeeper connection,Use CuratorFrameworkFactory.Builder and specify ExhibitorEnsembleProvider.Call build() and start().Internal ConnectionState.start() calls ensembleProvider.start() which should poll for hostnames to pr,egrs,egrs
ZOOKEEPER-2680,ZooKeeper,2017-01-27T06:03:14.000+0000,Major,Correct DataNode.getChildren() inconsistent behaviour.,DataNode.getChildren() API returns null and empty set if there are no children in it depending on when the API is called. DataNode.getChildren() API behavior should be changed and it should always ret,arshad.mohammad,arshad.mohammad
ZOOKEEPER-2679,ZooKeeper,2017-01-26T21:57:06.000+0000,Major,Flaky Test: org.apache.zookeeper.server.quorum.auth.QuorumAuthUpgradeTest.testRollingUpgrade,"This flaky test was introduced as part of ZOOKEEPER-1045, which fails regularly both in our internal test bot and upstream apache build bot. {noformat}Error Messagewaiting for server1being upStacktrac",hanm,hanm
ZOOKEEPER-2678,ZooKeeper,2017-01-26T15:16:55.000+0000,Major,Large databases take a long time to regain a quorum,I know this is long but please here me out.I recently inherited a massive zookeeper ensemble.  The snapshot is 3.4 GB on disk.  Because of its massive size we have been running into a number of issues,revans2,revans2
ZOOKEEPER-2677,ZooKeeper,2017-01-26T06:20:10.000+0000,Major,Verify the occurrence of CancelledKeyException in zookeeper branch-3.5 and above,As per the [discussion|https://issues.apache.org/jira/browse/ZOOKEEPER-2044?focusedCommentId=15836893&page=com.atlassian.jira.plugin.system.issuetabpanels:comment-tabpanel#comment-15836893] in ZOOKEEP,rakeshr,rakeshr
ZOOKEEPER-2676,ZooKeeper,2017-01-25T12:20:35.000+0000,Minor,Enable remote debugging unit tests on CLI,Sometimes it's useful to be able to run a unit test from the CLI and then attach an IDE to enable debugging as below:{code}$ ant -Dtestcase=FourLetterWordsTest -DremoteDebug=true test-core-java{code}T,eribeiro,eribeiro
